Primary planet name;Star name;Description
WASP-72 b;WASP-72;Despite its extreme irradiation, this planet has a size consistant with that of Jupiter. That makes it a possible outlier among the Hot Jupiters of similar masses, suggesting a significant enrichment in heavy elements.
WASP-71 b;WASP-71;WASP-71 b is a highly-irradiated planet which transits an evolved F8-type star every 2.9 days. The planet is larger than Jupiter but less dense.
WASP-70 A b;WASP-70 A;WASP-70A b is part of a binary system. The planet has been announced at the Extreme Solar Systems II conference in Jackson Hole by the WASP team. It was published in a paper in October 2013.
WASP-69 b;WASP-69;This planet has been announced at the Extreme Solar Systems II conference in Jackson Hole by the WASP team. It was published in a paper in October 2013.
WASP-68 b;WASP-68;This planet has been announced at the Extreme Solar Systems II conference in Jackson Hole by the WASP team. The scientific paper was published in December 2013.
WASP-67 b;WASP-67;This planet has been announced at the Extreme Solar Systems II conference in Jackson Hole by the WASP team.
WASP-66 b;WASP-66;This planet has been announced at the Extreme Solar Systems II conference in Jackson Hole by the WASP team.
WASP-65 b;WASP-65;This planet has been announced at the Extreme Solar Systems II conference in Jackson Hole by the WASP team. The scientific paper was published online in July 2013. The mean density of WASP-65 b is similar to that of Jupiter.
WASP-64 b;WASP-64;This planet has been announced at the Extreme Solar Systems II conference in Jackson Hole by the WASP team.
WASP-63 b;WASP-63;This planet has been announced at the Extreme Solar Systems II conference in Jackson Hole by the WASP team.
WASP-62 b;WASP-62;This planet has been announced at the Extreme Solar Systems II conference in Jackson Hole by the WASP team.
WASP-61 b;WASP-61;This planet has been announced at the Extreme Solar Systems II conference in Jackson Hole by the WASP team.
WASP-60 b;WASP-60;This planet has been announced at the Extreme Solar Systems II conference in Jackson Hole by the WASP team.
WASP-59 b;WASP-59;This planet has been announced at the Extreme Solar Systems II conference in Jackson Hole by the WASP team.
WASP-58 b;WASP-58;This planet has been announced at the Extreme Solar Systems II conference in Jackson Hole by the WASP team.
WASP-57 b;WASP-57;This planet has been announced at the Extreme Solar Systems II conference in Jackson Hole by the WASP team.
WASP-56 b;WASP-56;This planet has been announced at the Extreme Solar Systems II conference in Jackson Hole by the WASP team.
WASP-55 b;WASP-55;This planet has been announced at the Extreme Solar Systems II conference in Jackson Hole by the WASP team.
WASP-54 b;WASP-54;This planet has been announced at the Extreme Solar Systems II conference in Jackson Hole by the WASP team.
WASP-53 b;WASP-53;This planet has been announced at the Extreme Solar Systems II conference in Jackson Hole by the WASP team.
WASP-52 b;WASP-52;This planet has been announced at the Extreme Solar Systems II conference in Jackson Hole by the WASP team.
WASP-50 b;WASP-50;WASP-50 b is a Hot Jupiter transiting a solar type star in the southern constellation Eridanus.
WASP-49 b;WASP-49;This planet has been announced at the Extreme Solar Systems II conference in Jackson Hole by the WASP team.
WASP-48 b;WASP-48;N/A
WASP-47 b;WASP-47;This planet has been announced at the Extreme Solar Systems II conference in Jackson Hole by the WASP team.
WASP-46 b;WASP-46;WASP-46 b has about twice the mass of Jupiter and orbits a G6V star which shows evidence of being photospherically and chromospherically active.
WASP-45 b;WASP-45;WASP-45 b is a Jupiter mass planet transiting in front of the limb of its host star. Emission from Ca H+K suggests that the star is chromospherically active.
WASP-44 b;WASP-44;WASP-44 b is a sub-Jupiter mass planet in a 2.42 day orbit around a G8V star. It was discovered by the WASP collaboration and published in a paper by Anderson et al. (2012).
WASP-43 b;WASP-43;N/A
WASP-42 b;WASP-42;This planet has been announced at the Extreme Solar Systems II conference in Jackson Hole by the WASP team.
WASP-41 b;WASP-41;N/A
WASP-39 b;WASP-39;N/A
WASP-38 b;WASP-38;N/A
WASP-37 b;WASP-37;N/A
WASP-36 b;WASP-36;N/A
WASP-35 b;WASP-35;N/A
WASP-34 b;WASP-34;N/A
WASP-33 b;WASP-33;N/A
WASP-32 b;WASP-32;N/A
WASP-31 b;WASP-31;N/A
WASP-29 b;WASP-29;N/A
WASP-28 b;WASP-28;WASP-28b is an inflated Jupiter-mass planet on a 3.4 day orbit. The orbit is aligned with the sky projected spin axis of the star.
WASP-26 b;WASP-26;N/A
WASP-25 b;WASP-25;N/A
WASP-24 b;WASP-24;N/A
WASP-23 b;WASP-23;N/A
WASP-22 b;WASP-22;N/A
WASP-21 b;WASP-21;N/A
WASP-20 b;WASP-20;This planet has been announced in 2011 at the Extreme Solar Systems II conference in Jackson Hole by the WASP team. The scientific paper describing the discovery was published on the arXiv in 2014. The planet was discovered via the transit method and confirmed using radial velocity measurements.
WASP-19 b;WASP-19;N/A
WASP-18 b;WASP-18;N/A
WASP-17 b;WASP-17;N/A
WASP-16 b;WASP-16;N/A
WASP-15 b;WASP-15;N/A
WASP-14 b;WASP-14 A;N/A
WASP-13 b;WASP-13;N/A
WASP-12 b;WASP-12;The host star of WASP-12 b is the primary of a hierarchical triple system. The distant binary consists of two M dwarfs.
WASP-11 b;WASP-11 A;N/A
WASP-10 b;WASP-10;N/A
WASP-8 b;WASP-8 A;N/A
WASP-7 b;WASP-7;N/A
WASP-6 b;WASP-6;N/A
WASP-5 b;WASP-5;N/A
WASP-4 b;WASP-4;N/A
WASP-3 b;WASP-3 A;N/A
WASP-2 A b;WASP-2 A;WASP-2 is an orange dwarf star that hosts the exoplanet WASP-2 b. It was discovered with the SuperWASP survey in 2006.
WASP-1 b;WASP-1 A;N/A
Venus;Sun;Venus is the second planet from the Sun.
V391 Peg b;V391 Peg;N/A
UZ For(ab) d;UZ For(ab);UZ Fornacis is an eclipsing polar binary. High-speed photometry and archival eclipse timing data spanning 27 years suggest the presence of extrasolar planets (Potter et al 2011).
UScoCTIO 108 b;UScoCTIO 108;N/A
Uranus;Sun;Uranus is visible with the naked eye but has never been recognized as a planet by ancient observers.
Upsilon Andromedae A e;Upsilon Andromedae A;The detection of the fourth planet in the Upsilon Andromedae system has been questioned due to the presence of an unaccounted-for instrumental shift in earlier reductions of the radial velocity data from the Lick observatory.
Upsilon Andromedae A d;Upsilon Andromedae A;The binary star Upsilon Andromedae is only 40 light years away from Earth. The system hosts at least 3 jovian planets. It was the first multiple planet system to be discovered around a main sequence star.
Upsilon Andromedae A c;Upsilon Andromedae A;The binary star Upsilon Andromedae is only 40 light years away from Earth. The system hosts at least 3 jovian planets. It was the first multiple planet system to be discovered around a main sequence star.
Upsilon Andromedae A b;Upsilon Andromedae A;The binary star Upsilon Andromedae is only 40 light years away from Earth. The system hosts at least 3 jovian planets. It was the first multiple planet system to be discovered around a main sequence star.
TYC 1422-614-1 c;TYC 1422-614-1;The multiple planetary system orbiting TYC 1422-614-1 is the first finding of the TAPAS project, a HARPS-N monitoring of evolved planetary systems identified with the Hobby-Eberly Telescope.
TYC 1422-614-1 b;TYC 1422-614-1;The multiple planetary system orbiting TYC 1422-614-1 is the first finding of the TAPAS project, a HARPS-N monitoring of evolved planetary systems identified with the Hobby-Eberly Telescope.
TrES-5 b;TrES-5;TrES-5 b transits one of the faintest stars with known transiting planets.
TrES-4 A b;TrES-4 A;The planet TrES-4 b was discovered by the Trans-Atlantic Exoplanet Survey and is located in the constellation Hercules. The host star is a member of a binary system.
TrES-3 b;TrES-3;The planet TrES-3 b has an orbital perdiod of just 31 hours and is undergoing orbital decay due to tidal effects.
TrES-2;TrES-2 A;The planet TrES-2 b is a Hot Jupiter orbiting the star GSC 03549-02811. Kipping and Spiegel (2011) identified it as the darkest known exoplanet, reflecting less than 1% of the light that hits it.
TrES-1 b;TrES-1;TrES-1 b orbits an orange dwarf star in the constellation of Lyra. It belongs to the class of Hot Jupiters
tau Gem b;tau Gem;N/A
tau Ceti f;tau Ceti;Multiple periodic signals were found by Tuomi et al. in 2012 in the radial velocity data from HARPS, AAPS and HIRES. The planetary nature of the signals has yet to be confirmed.
tau Ceti e;tau Ceti;Multiple periodic signals were found by Tuomi et al. in 2012 in the radial velocity data from HARPS, AAPS and HIRES. The planetary nature of the signals has yet to be confirmed.
tau Ceti d;tau Ceti;Multiple periodic signals were found by Tuomi et al. in 2012 in the radial velocity data from HARPS, AAPS and HIRES. The planetary nature of the signals has yet to be confirmed.
tau Ceti c;tau Ceti;Multiple periodic signals were found by Tuomi et al. in 2012 in the radial velocity data from HARPS, AAPS and HIRES. The planetary nature of the signals has yet to be confirmed.
tau Ceti b;tau Ceti;Multiple periodic signals were found by Tuomi et al. in 2012 in the radial velocity data from HARPS, AAPS and HIRES. The planetary nature of the signals has yet to be confirmed.
tau Boo A b;tau Boo A;The planet Tau Boötis b was one of the first exoplanets to be discovered back in 1996. In 2012, astronomers have detected the faint glow that is emitted from the planet, reliably probing the structure of the atmosphere of Tau Bootis b and deducing its mass accurately for the first time.
SWEEPS-11;SWEEPS-11;N/A
SWEEPS-4;SWEEPS-4;N/A
SR 12 C;N/A;N/A
Saturn;Sun;Saturn is best known for its extensive ring system.
SAND364 b;SAND364;The host star of SAND364 b is located in the old open star cluster Messier 67 (M67). There are few galactic clusters which are older and none of those are as close as M67. The survey was conducted by European astronomers. They found that massive planets around stars of open clusters are as frequent as those around field stars.
RR Cae (AB) b;N/A;The binary RR Cae contains a cool white dwarf and an M-Type dwarf. Eclipse timing variations were used to find a circumbinary planet on an orbit nearly identical to that of Jupiter.
ROXs 42 B b;N/A;The substellar object ROXs 42B b is orbiting the binary M star ROXs 42B. It is most likely a planet and was discovered in 2013 by Thayne Currie.
ROXs 12 b;ROXs 12;ROXs 12 b is a wide separation planetary mass companion to the star ROXs 12. The object was discovered over 10 years ago in a binary survey program, but follow-up observations only confirmed its planetary nature in 2013.
Ross 458 C;N/A;N/A
Qatar-2 b;Qatar-2;Qatar-2b is a transiting hot Jupiter orbiting a K dwarf and was found by the Qatar Exoplanet Survey (QES). The radial velocity data shows evidence for a second companion with a period of about one year and a mass several times that of Jupiter.
Qatar-1 b;Qatar-1;Qatar-1 b orbits a metal-rich K-dwarf, one of the faintest around which a planet has been discovered by ground based surveys. Measurements of the Rossiter-McLaughlin effect show that the sky-projected obliquity between the orbital plane of the planet and the star's rotation axis is only a few degrees.
PSR J1719-1438 b;PSR 1719-1438;The 5.7ms pulsar PSR J1719-14 shows timing variations on a 2.17 hour timescale. These can be explained with a Jovian planet. However, because of the planet's short distance to the star, its density has to be more then 20 times that of Jupiter. The planet is most likely a remnant of a binary star which avoided complete destruction. The chemical composition, pressure and dimensions of the planet indicate that it is crystallized, or in other words, a very big diamond (Bailes et al 2011).
PSR B1620-26 b;N/A;PSR B1620-26 b is a circum-binary planet. It is orbiting a pulsar and a white dwarf in the globular cluster M4. The cluster is estimated to be 12.2 billion years old.
PSR 1257 12 d;PSR 1257 12;N/A
PSR 1257 12 c;PSR 1257 12;N/A
PSR 1257 12 b;PSR 1257 12;N/A
PSO J318.5-22;N/A;PSO J318-22 is a free floating planetary mass object. It was discovered using the Pan-STARRS1 survey and is part of the beta Pictoris moving group. Evolutionary models give the object a temperature of 1160K and a mass about 6 times that of Jupiter, making PSO J318-22 one of the lowest mass free-floating objects in the solar neighborhood.
Pr0211 b;Pr0211;This planet is a so-called Hot Jupiter which orbits tightly around its parent star in the Beehive Cluster, a collection of roughly 1,000 stars that appear to be swarming around a common center. The planet is not habitable but its sky would be starrier than what we see from Earth.
Pr0201 b;Pr0201;This planet is a so-called Hot Jupiter which orbits tightly around its parent star in the Beehive Cluster, a collection of roughly 1,000 stars that appear to be swarming around a common center. The planet is not habitable but its sky would be starrier than what we see from Earth.
POTS-1 b;POTS-1;POTS-1 b is a Hot Jupiter and the first planet discovered by the pre-OmegaTranS project survey. This survey is looking at the Carina region of the Galactic disc with the European Southern Observatory Wide Field Imager at La Silla Observatory.
Pluto;Sun;Pluto is officially categorized as a minor planet by the International Astronomical Union.
PH-2 b;PH-2;The exoplanet PH-2 b was discovered by citizen scientists using an online tool at planethunters.org. The planet is a gas giant and could be located in the star's habitable zone. The system might also have a faint binary companion.
PH-1 A(ab) b;N/A;PH 1 b is a circumbinary planet in a quadruple star system. It is orbiting a double star and there is a second pair of stars at approximately 1000 AU. Citizen scientists discovered this planet by looking at many light curves using the online tool at planethunters.org.
PH3 c;Kepler-289;Although this system was previously known to host at least two planets, the third planet, PH3 c, was first spotted by citizen scientists using the Planet Hunters website.
Oph 11 B;Oph 11 A;N/A
omi UMa b;omi UMa;Discovered with precise Doppler measurements at Okayama Astrophysical Observatory.
omi CrB b;omi CrB;Discovered with precise Doppler measurements at Okayama Astrophysical Observatory.
Omega Serpentis b;Omega Serpentis;The exoplanet Omega Serpentis b is orbiting a star in the northern constellation Serpens. It was discovered using the radial velocity method. The measurements were taken at the Okaya Astrophysical Observatory.
OGLE-TR-211 b;OGLE-TR-211;N/A
OGLE-TR-182 b;OGLE-TR-182;N/A
OGLE-TR-132 b;OGLE-TR-132;N/A
OGLE-TR-113 b;OGLE-TR-113;N/A
OGLE-TR-111 b;OGLE-TR-111;N/A
OGLE-TR-56 b;OGLE-TR-56;N/A
OGLE-TR-10 b;OGLE-TR-10;N/A
OGLE-2013-BLG-0341L B b;OGLE-2013-BLG-0341L B;The planet OGLE-20130BLG-0341LB b was discovered with the gravitational microlensing method. The planet is orbiting a star with a very low luminosity. That is why even though the planet's semimajor axis is smaller than that of Earth, its temperature is well below freezing.
OGLE-2012-BLG-0406L b;OGLE-2012-BLG-0406L;This planetary system was discovered during a high-magnification gravitational microlensing event. It is the first microlensing planet found by analyzing data from only a single telescope. The planet is located beyond the snow-line. Some core accretion theories favor the formation of massive planets inside the snow-line. However, planetary migration in the protoplanetary disk might explain why the planet has moved outwards.
OGLE-2012-BLG-0358L b;OGLE-2012-BLG-0358L;OGLE-2012-BLG-0358L b is a planetary mass object which is orbiting a brown dwarf. The discovery of this system suggests that planets can form around brown dwarf hosts, probably in a protoplanetary disk analogous to those around main sequence stars.
OGLE-2012-BLG-0026L c;OGLE-2012-BLG-0026L;This multi-planetary system was discovered during a high-magnification gravitational microlensing event. Both planets are located beyond the snow-line, an important clue for planet formation models.
OGLE-2012-BLG-0026L b;OGLE-2012-BLG-0026L;This multi-planetary system was discovered during a high-magnification gravitational microlensing event. Both planets are located beyond the snow-line, an important clue for planet formation models.
OGLE-2011-BLG-0265L b;OGLE-2011-BLG-0265L;A cold Jupiter orbits an M-dwarf star that gave rise to the microlensing event OGLE-2011-BLG-0265. The preferred solution out of two host star/planet configurations is presented here.
OGLE-2011-BLG-0251 b;OGLE-2011-BLG-0251;The planet OGLE-2011-BLG-0251 b was discovered using gravitational microlensing. The host star is an M dwarf. It is located towards the Galactic Bulge. The planet lies beyond the snow-line, an important clue for planet formation models.
OGLE-2008-BLG-355L b;OGLE-2008-BLG-355L;N/A
OGLE-2008-BLG-092L b;OGLE-2008-BLG-092L;The planet OGLE-2008-BLG-092L b is a Uranus-mass planet in a binary stellar system. The discovery was made using the gravitational microlensing method. Some of the physical parameters of the system are not well constrained and model dependent.
OGLE-2007-BLG-368L b;OGLE-2007-BLG-368L;N/A
OGLE-06-109L c;OGLE-06-109L;N/A
OGLE-06-109L b;OGLE-06-109L;N/A
OGLE-05-390L b;OGLE-05-390L;N/A
OGLE-05-169L b;OGLE-05-169L;N/A
OGLE-05-071L b;OGLE-05-071L;N/A
OGLE235-MOA53 b;OGLE235-MOA53;N/A
OGLE2-TR-L9 b;OGLE2-TR-L9;N/A
NY Virginis (AB) b;N/A;The rapidly pulsating eclipsing binary NY Virginis has a period of 0.1 days. On a much longer timescale of 7.9 years, the system exhibits small amplitude cyclic variations which are associated with a third body in the system. A recent paper by Qian et. al. claims that this body is a giant circumbinary planet orbiting NY Vir at a distance of 3.3 astronomical units. There might be another planet in this system with an even longer orbital period, probably more than 15 years.
nu Oph c;nu Oph;N/A
nu Oph b;nu Oph;N/A
NSVS 14256825 d;N/A;NSVS 14256825 is an HW Vir type binary which consists of a hot subdwarf and a main-sequence low-mass star in a close orbit.
NSVS 14256825 c;N/A;NSVS 14256825 is an HW Vir type binary which consists of a hot subdwarf and a main-sequence low-mass star in a close orbit.
NN Ser (AB) d;N/A;NN Ser AB is a short-period eclipsing binary. The system hosts a white dwarf, a red dwarf and two planets.
NN Ser (AB) c;N/A;NN Ser AB is a short-period eclipsing binary. The system hosts a white dwarf, a red dwarf and two planets.
NGC 4349 No 127 b;NGC 4349 No 127;N/A
NGC 2423 3 b;NGC 2423 3;N/A
Neptune;Sun;Neptune is the fourth largest planet in the Solar System.
mu Leo b;mu Leo;The planet mu Leo b is orbiting the K giant mu Leonis, also known as Rasalas (the northern star of the lion's head). It was found using data from the Bohyunsan Observatory.
mu Arae e;mu Arae;N/A
mu Arae d;mu Arae;N/A
mu Arae c;mu Arae;N/A
mu Arae b;mu Arae;N/A
MOA-bin-1 b;MOA-bin-1;This planet has been discovered in data from the 2006-2007 MOA project by Bennett et al (2012). It is the first planetary event in which the stellar host is only detected through binary microlensing events. Note that the discovery paper has not been published in a peer-reviewed journal yet.
MOA-2013-BLG-220L b;MOA-2013-BLG-220L;MOA-2013-BLG-220L is a microlensing event observed in 2013. The most likely candidate for the lens system is a planet orbiting a brown dwarf host star. Many of the parameters are uncertain and followup observations are required to further constrain the system. Observations will become possible in 2021 when the lens and source will have separated sufficiently to be resolved in high resolution images.
MOA-2012-BLG-311 b;MOA-2012-BLG-311;This object was observed in a gravitational mirolensing event. A good mass estimate could not be obtained although the object is most likely of planetary nature. Unfortunately microlensing events are not repeatable and the planet is therefore marked as controversial.
MOA-2011-BLG-322 b;MOA-2011-BLG-322;MOA-2011-BLG-322 b is a giant planet which was discovered by MOA, OGLE and the Wise Observatory. These observatories form a network and conduct a second generation microlensing survey. The survey aims to discover and characterize extrasolar planets and their frequency, by means of round-the-clock high-cadence monitoring of a large area of the Galactic bulge.
MOA-2011-BLG-293L b;MOA-2011-BLG-293L;MOA-2011-BLG-293L b is a planet discovered by gravitational microlensing. Using follow-up observations on Keck, astronomers have identified the planet to lie in or near the habitable zone. It could in principle have habitable moons. It is also the first planet to be identified as being in the Galactic bulge with good confidence.
MOA-2010-BLG-477L b;MOA-2010-BLG-477L;Densely covered observations of a high-magnification event led to the discovery of the planet MOA-2010-BLG-477 b. Many different telescopes around the world have been used in this collaborative effort, including a 40cm telescope in Antartica.
MOA-2010-BLG-328L b;MOA-2010-BLG-328L;MOA-2010-BLG-328 is a planetary microlensing event. Multiple fits (including one with source orbital motion, xallarap) can explain the system. The mass of the companion might therefore change. However, all fits clearly show the presence of a planery mass object: MOA-2010-BLG-328L b.
MOA-2010-BLG-073L b;MOA-2010-BLG-073L;The planet MOA-2010-BLG-073L b was discovered by the Microlensing Observations in Astrophysics (MOA) survey. In a microlensing event like this, the light from a source star is bent and magnified by a foreground star and a planet. In this case the source star was previously known to be photometrically variable.
MOA-2009-BLG-387L b;MOA-2009-BLG-387L;N/A
MOA-2009-BLG-319 b;MOA-2009-BLG-319;N/A
MOA-2009-BLG-266L b;MOA-2009-BLG-266L;N/A
MOA-2008-BLG-379L b;MOA-2008-BLG-379L;MOA-2008-BLG-379Lb is a planetary mass object discovered by gravitational microlensing. Because a faint source star crossed a large resonant caustic, the planetary signal dominates the light curve. A statistical model has been used to determine the physical system parameters.
MOA-2008-BLG-310-L b;MOA-2008-BLG-310-L;N/A
MOA-2007-BLG-400-L b;MOA-2007-BLG-400-L;N/A
MOA-2007-BLG-192-L b;MOA-2007-BLG-192-L;The exoplanet MOA-2007-BLG-192-L b is orbiting a low mass brown dwarf, roughly 6% the mass of our Sun. This makes the primary too small to sustain fusion.
Mercury;Sun;Mercury is the innermost planet in the Solar System.
Mars;Sun;Mars is named after the Roman god of war and often called the red planet.
Lupus-TR 3b;Lupus-TR 3;Lupus-TR 3b is the only planet in the system. The planet is a typical a hot Jupiter orbiting Lupus-TR 3, an early dwarf type star
LkCa 15 b;LkCa 15;The young (2 Myr) solar analog LkCa 15 shows evidence for a (proto)planet surrounded by dusty material. The object is located in a known gap in the transitional disk. More planets might be present in this system.
KOI-4427.01;KOI-4427;This planet candidate has been verified to 2.6-sigma, not enough to claim a confirmation.
KOI-2672.02;KOI-2672;The system KOI-2672 was discovered using transit data from the Kepler telescope. The planetary nature of the system was confirmed using transit timing variations.
KOI-2672.01;KOI-2672;The system KOI-2672 was discovered using transit data from the Kepler telescope. The planetary nature of the system was confirmed using transit timing variations.
KOI-2529.01;Kepler-436;KOI-2529.01 is an unconfirmed exoplanet candidate that was identified in the Q1-Q6 Kepler KOI list.
KOI-1894.01;KOI-1894;The detection of KOI-1894.01 in radial velocity measurements is still marginal. This planet candidate thus remains unconfirmed.
KOI-1873.02;KOI-1873;This planet was discovered by the Kepler spacecraft. The planet is part of a multiplanetary system. Its planetary nature has been confirmed using transit timing variations which arise because the planets in one system pull on each other and slightly alter the transit times.
KOI-1873.01;KOI-1873;This planet was discovered by the Kepler spacecraft. The planet is part of a multiplanetary system. Its planetary nature has been confirmed using transit timing variations which arise because the planets in one system pull on each other and slightly alter the transit times.
KOI-1843.03;KOI-1843;N/A
KOI-1843.02;KOI-1843;N/A
KOI-1843.01;KOI-1843;N/A
KOI-1781 d;KOI-1781;The KOI-1781 system was discovered by the Kepler spacecraft. This third planet candidate in the system has not been confirmed yet.
